date,speaker,affiliation,title,url,source
Jun  15,Dan Turner-Evans,"University of California, Santa Cruz","Maintaining, updating, and relaying a head direction representation in the fruit fly brain",https://youtu.be/SFQvsIJK_zs,23 summer-Table 1
Jun  22,Clifton Ragsdale,University of Chicago,Recent observations on the arm of the octopus,https://youtu.be/gHxhiRUC7fM,23 summer-Table 1
Jun  29,Kem Sochacki,"National Heart, Lung, and Blood Institute",Learning from cryogenic plasma membranes,https://youtu.be/QhbbCGoX65k,23 summer-Table 1
Jul  6,Wei Lu,National Institute of Neurological Disorders and Stroke,A membrane protein assists the GABAA receptor and hypnosis”,https://youtu.be/glpCEOeHfpY,23 summer-Table 1
Jul  13,Davi Bock,University of Vermont,Structured memory circuitry and brain-wide cell typing in Drosophila; and multiplane microchamber imaging with Lacrymaria olor,https://youtu.be/h63hAOrcW8c,23 summer-Table 1
Jul  20,Aravinthan Samuel,Harvard University,Bacterial chemotaxis,https://youtu.be/vDFtSYQXmXs,23 summer-Table 1
Jul  27,Euiseok J. Kim,"University of California, Santa Cruz",Long-range circuit motifs and their development in the mouse cortex,https://youtu.be/upRRaCBtKk0,23 summer-Table 1
Aug  3,Jessica Sheu-Gruttadauria,"University of California, San Francisco",Mapping regulatory landscapes of biomolecular condensate dynamics,https://youtu.be/tWCsewN4k_Q,23 summer-Table 1
Aug  10,David G. Drubin,"University of California, Berkeley",Dynamic interplay between membrane geometry and force production during actin-mediated vesicle formation,https://youtu.be/a5OJj9wtDac,23 summer-Table 1
Aug  17,Daniel Cortes,Virginia Tech,Revisiting Unicellular Behavior and Decision Making in Stentors,https://youtu.be/PI-ykL7peJQ,23 summer-Table 1
Aug  24,Jaqulin Wallace,Marine Biological Laboratory,Excess phosphoserine-129 α-synuclein induces synaptic vesicle trafficking and declustering defects at a vertebrate synapse,https://youtu.be/qo8CbBb4UmU,23 summer-Table 1
Jul  7,Karin Busch,"University of Münster, Germany",Nanoscopic analysis of Dynamics - Ultrastructure - Function relationships in mitochondria,https://youtu.be/cnsc9Pu72qs,23 summer-Table 1
Jul  14,Gerardo Morfini,Univ of Ill at Chicago,Squid giant axons reveal novel pathogenic mechanisms operating in Huntington's disease,https://youtu.be/Je2SvDNJSbw,23 summer-Table 1
Jul  21,Harold Zakon,University of Texas at Austin,How do deadly poison frogs not poison themselves,https://youtu.be/yoD4eLf9Z3Y,23 summer-Table 1
